"Event Number","19","22","23","26","27","28","29","30","33","36","37","38","39","42"
"AMERICAN SHAD",,,,,,,,,,,,,,
"ARROWTOOTH FLOUNDER, TURBOT",,,,,,0.04,,,,,,,,
"BLACK ROCKFISH",0.25,,0.1,,,,,,,,,,,
"BLUE SHARK",,,,,,,,,,,,,,
"BOREAL CLUBHOOK SQUID",,,,,,,,,,,,,,
"CALIFORNIA SEA LION",,,,,,,,,,,,,,
"CALYCOPSIS",,,,,,,,,,,,,,
"CANARY ROCKFISH",,,,,,,,,,,,,,
"CHINOOK SALMON",2.27,,6.99,,0.41,,,0.69,5.41,,,11.09,,
"CHUM SALMON",,,9.17,,0.03,,6.33,,,,,0.07,0.95,
"CODFISHES",,,,,,,,,,,,,,
"COHO SALMON",,,0.06,,2.36,,0.03,,,,,,,
"COMB JELLYFISH",,,,,,,,,,,,,,
"COPPER ROCKFISH",,,,,,,,,,,,,,
"DARKBLOTCHED ROCKFISH",,,,,,,,,,,,,,
"DINNER PLATE JELLYFISH",,,,,,,,,1.88,0.58,,,,
"EULACHON",,,,0.12,,0.06,,,,,,,,
"EUPHAUSIIDS",,,,,,1.24,,,,5.03,,,,
"FLATFISHES",,,,,,0.08,,,,,,,,
"FRIED EGG JELLY",,,,2.2,,,,,,,,,,0.05
"GREENLINGS",,,,,,,,,,,,,,
"GREENSTRIPED ROCKFISH",,,,,,,,,,,,,,
"ISOPODS",,,,,,,,,,,,,,
"JACK MACKEREL",,,,,,,,,,,,,,
"JELLYFISH",,,,,,,,,,4.02,2.34,,11.53,2.56
"LANTERNFISH",,,,,,,,,,,,,,
"LIONS MANE",,,,,,,,,,4.29,,,7.43,6.8
"LUMPFISHES AND SNAILFISHES",,,,,,,,,,,,,,
"MOON JELLYFISH",,,,,,,0.47,,,,,,,0.36
"NORTH PACIFIC SPINY DOGFISH",,,,,,,,,,,,,,
"NORTHERN ANCHOVY",,,,,0.05,,,,,,,,,
"NORTHERN SPEARNOSE POACHER",,,,,,,,,,,,,,
"OCEAN SUNFISH",,,,,,,,,,,,,,
"OPALESCENT INSHORE SQUID",0.14,,,,1.7,,0.12,,,,,0.08,,
"PACIFIC HAKE",,,,,,,,,,,,,,
"PACIFIC HERRING",5.32,,0.5,826.75,84.18,3.62,11.23,,,,1.26,23.78,,
"PACIFIC LAMPREY",,,,,,,,,,,,,,
"PACIFIC SAND LANCE",,,,,,,,,,,,,,
"PACIFIC SANDDAB",,,,,,0.46,,,,,1.34,0.9,,
"PACIFIC SARDINE",,,,,,,,,,,,,,
"PACIFIC SEA NETTLE",,,,,,,0.2,,,,,,,
"PACIFIC TOMCOD",,,,,,,,,,,,,,
"PACIFIC WHITE-SIDED DOLPHIN",,,,,,,,,,,,,,
"PINK SALMON",,,,,,,,,,,,0.01,,
"PINK SHRIMP (SMOOTH)",,,,,,,,,,,,,,
"PROWFISH",,,,,,,,,,,,,0.03,0.03
"RAINBOW TROUT (aka Steelhead)",,,,,,,,,,,,,,
"ROCKFISHES",,,,,,,,,,,,,,
"SABLEFISH",,,,,,,,,,,,,,
"SALPS",,,,,,,,,,,,,,
"SANDDABS",,,,,,,,,,,,,,
"SEA BUTTERFLY",,,,,,,,,,,,,,
"SHORTBELLY ROCKFISH",,,,,,,,,,,,,,
"SILVERGRAY ROCKFISH",,,,,,,,,,,,,,
"SIPHONOPHORAE",,,,,,,,,,,,,,
"SLENDER SOLE",,,,,,,,,,,,,,
"SMELTS",,,,,,,,,,,,,,
"SOCKEYE SALMON",,,1.3,,,,,,,,,,,
"SQUIDS",,,,,,,,,,,,,,
"STURGEON POACHER",,,,,,,,,,,,,,
"TOPE SHARK",,,,,,,,,,,,,,
"TRUE CRABS",,,,,,,,,,,,,,
"UNIDENTIFIED LARVAE",,,,,,,,,,,,,,
"UNKNOWN FISH",,,,,,,,,,,,,,
"WALLEYE POLLOCK",,,,,,,,,,,,,,
"WATER JELLYFISH",1.2,,,,,,,,,,,,,
"WHITEBAIT SMELT",,,,,,,,,,,,,,
"WIDOW ROCKFISH",,,,,,,,,,,,,,
"WOLF EEL",,,,,,,,,,,,,,
"YELLOWTAIL ROCKFISH",,,,,,,,,,,,,,
"TOTAL",9.18,0,18.12,829.07,88.73,5.5,18.38,0.69,7.29,13.92,4.94,35.93,19.94,9.8
